,mean_abs_shap
is_year2023,1.1784066803475508
Stint,0.7685809592137202
LR_x_TL,0.44896692467466826
LapTime_Delta,0.35921587779964476
TL_x_Stint,0.27999261198982756
Position_Change,0.22548803461872444
EstTotalLaps,0.21438438660784817
Compound_ord,0.13286933707927975
LT_race_compound_mean,0.13238999474650756
TyreLife,0.12994179808445497
LapNumber,0.11175624669372565
Race_TE,0.11110568999255672
PitStop,0.0878069465296228
TyreLife_compound_pct,0.08289529474162526
LT_vs_pace,0.07930524092008426
RaceProgress,0.07765974689714011
LapTime (s),0.07609436824183324
Cumulative_Degradation,0.06625762251044465
LapsRemaining_x_NormTL,0.06529606718152806
Position,0.06490305293172396
RP_x_TL,0.06392203989552189
Year,0.06346243380798298
Driver_TE,0.05855935308415834
LT_acceleration,0.04744705171295286
NormTyreLife,0.042713974639810144
Deg_per_lap,0.03957753401783788
Deg_x_NormTL,0.038163290223029625
LTD_roll3_mean,0.035727603485529835
LT_lag2,0.03012061804884929
LT_lag1,0.02718751687582774
LapsRemaining,0.02697028611442609
LT_roll3_std,0.02444300700356531
LT_roll3_mean,0.024190480717183434
LTD_lag1,0.023102057138389104
TL_lag1,0.021450184791145775
is_pretesting,0.012526057836851755
LapsRemaining_clip,0.010170072278025749
Race_Year_TE,0.008030741525264022
PitStop_lag1,0.007569876865157788
is_real_driver,0.005199487326275588
